Name, Rain?, Family/Level
Cirrus castellanus, No, A
Cirrus fibratus, No, A
Cirrus spissatus, No, A
Cirrus uncinus, No ,A
Cirrocumulus stratiformis, No, A
Cirrocumulus lenticularis, No, A
Cirrocumulus castellanus, No, A
Cirrocumulus floccus, No, A
Cirrostratus fibratus, No, A
Cirrostratus nebulosus, No, A
Altostratus duplicatus, No, B
Altostratus opacus, No, B
Altostratus radiatus, No, B
Altostratus translucidus, No, B
Altostratus undulatus, No, B
Altocumulus castellanus, No, B
Altocumulus floccus, No, B
Altocumulus lenticularis, No, B
Altocumulus volutus, No, B
Altocumulus duplicatus, No, B
Altocumulus lacunosus, No, B
Altocumulus opacus, No, B
Altocumulus perlucidus, No, B
Altocumulus radiatus, No, B
Altocumulus translucidus, No, B
Altocumulus undulatus, No, B
Stratus fractus, Yes, C
Stratus nebulosus, No, C
Stratus opacus, No, C
Stratus translucidus, No, C
Stratus undulatus, No, C
Stratocumulus castellanus, No, C
Stratocumulus floccus, No, C
Stratocumulus lenticularis, No, C
Stratocumulus volutus, No, C
Stratocumulus duplicatus, No, C
Stratocumulus lacunosus, No, C
Stratocumulus opacus, No, C
Stratocumulus perlucidus, No, C
Stratocumulus radiatus, No, C
Stratocumulus translucidus, No, C
Stratocumulus undulatus, No, C
Nimbostratus, Yes, B
Cumulus castellanus, Sometimes, Cumulus
Cumulus congestus, Yes, Cumulus
Cumulus fractus, No, Cumulus
Cumulus humilis, No, Cumulus
Cumulus mediocris, No, Cumulus
Cumulonimbus calvus, Yes, Cumulonimbus
Cumulonimbus capillatus, Yes, Cumulonimbus
Cumulonimbus praecipitatio, Yes, Cumulonimbus
Cumulonimbus virga, Yes, Cumulonimbus
Cumulonimbus pannus, Yes, Cumulonimbus
Cumulonimbus incus, Yes, Cumulonimbus
Cumulonimbus mammatus, Yes, Cumulonimbus
Cumulonimbus pileus, Yes, Cumulonimbus
Cumulonimbus velum, Yes, Cumulonimbus
Cumulonimbus arcus, Yes, Cumulonimbus
Cumulonimbus tuba, Yes, Cumulonimbus
